Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20,National-US
2015-01-01,147.84,225.94,204.67,195.75,158.49,205.24,193.66,164.67,118.82,126.55,175.73,96.69,139.83,129.03,137.56,174.76,105.68,170.73,143.43,168.83,187.37,172.64,166.41
2015-02-01,148.22,227.59,205.94,200.26,160.72,205.7,194.8,164.97,118.9,126.44,175.35,97.07,139.91,130.26,137.3,174.82,104.46,171.88,144.42,170.28,188.3,173.44,166.81
2015-03-01,149.19,229.67,208.52,206.34,162.96,206.88,196.66,167.12,119.95,127.6,176.12,97.9,141.14,131.22,138.74,174.37,105.14,173.87,147.17,174.12,189.72,174.98,168.28
2015-04-01,150.39,232.58,209.78,210.85,166.05,209.63,198.42,168.08,121.52,128.98,176.52,99.48,142.69,132.45,140.09,175.68,106.24,176.88,148.81,178.04,191.79,177.01,170.17
2015-05-01,151.48,235.32,211.57,213.64,167.86,210.98,199.93,169.33,123.23,130.52,179.26,101.03,144.36,133.39,142.11,177.27,108.0,179.39,150.26,180.53,193.8,178.93,172.06
2015-06-01,152.83,237.14,212.09,214.58,170.08,212.51,200.56,169.79,124.83,131.92,181.87,102.68,146.01,134.23,143.13,179.52,109.41,182.16,151.62,182.43,195.56,180.64,173.66
2015-07-01,153.93,238.11,214.53,215.48,171.29,213.01,201.22,171.18,125.87,132.77,183.85,103.34,147.08,134.41,144.39,180.81,110.16,184.56,153.52,183.2,196.73,181.81,174.71
2015-08-01,154.82,238.27,215.22,215.14,172.78,212.88,201.95,172.11,126.21,132.93,184.56,103.75,147.45,134.37,144.88,181.66,109.83,186.51,154.67,183.83,197.2,182.34,175.17
2015-09-01,155.15,238.68,216.37,216.34,173.48,211.88,203.78,172.95,126.33,132.32,184.42,103.58,147.7,134.2,144.96,181.66,109.45,187.98,155.28,184.25,197.4,182.58,175.32
2015-10-01,155.92,238.91,215.62,217.83,174.21,210.77,205.09,174.08,126.03,131.27,184.14,103.27,147.51,134.51,144.89,181.4,108.74,188.88,155.83,185.16,197.32,182.61,175.4
2015-11-01,156.42,239.67,216.54,218.42,174.42,210.52,206.68,174.96,125.69,130.37,183.24,103.41,147.55,134.97,144.77,180.96,108.82,189.47,156.14,186.05,197.32,182.71,175.5
2015-12-01,157.22,240.54,218.0,217.9,174.34,210.27,206.05,176.54,125.72,129.84,182.82,103.77,146.94,135.4,145.31,180.48,108.72,190.19,156.49,186.64,197.21,182.75,175.65
